2.400000000000000000e+01	2.789161556712528181e+03	2.000000000000000000e+02
4.800000000000000000e+01	5.267013510820593183e+03	2.000000000000000000e+02
7.200000000000000000e+01	8.312780762422924454e+03	2.000000000000000000e+02
9.600000000000000000e+01	9.247869497580149982e+03	2.000000000000000000e+02
1.200000000000000000e+02	9.637662765696617498e+03	2.000000000000000000e+02
1.440000000000000000e+02	1.011068833809598073e+04	2.000000000000000000e+02
1.680000000000000000e+02	1.015172049874787808e+04	2.000000000000000000e+02
1.920000000000000000e+02	9.866603426186062279e+03	2.000000000000000000e+02
2.160000000000000000e+02	1.000130365612719470e+04	2.000000000000000000e+02
2.400000000000000000e+02	9.550910060628018982e+03	2.000000000000000000e+02
2.640000000000000000e+02	1.022984059361016079e+04	2.000000000000000000e+02
2.880000000000000000e+02	1.019833903958695373e+04	2.000000000000000000e+02
