  0	5.682900e-01	2.220446e-16	1.571294e-02	3.469447e-18
  3	5.681037e-01	6.661338e-16	1.557320e-02	1.040834e-17
  6	5.686626e-01	2.220446e-16	1.551110e-02	0.000000e+00
  9	5.691672e-01	1.110223e-16	1.561202e-02	1.387779e-17
 12	6.304405e-01	4.681615e-03	1.556460e-02	9.051026e-04
 15	7.035627e-01	4.729096e-03	1.604761e-02	1.276996e-03
 18	7.474588e-01	3.967919e-03	1.618684e-02	1.488121e-03
 21	7.665602e-01	3.186362e-03	1.531178e-02	1.690451e-03
 24	7.706159e-01	4.840020e-03	1.421648e-02	1.890624e-03
 27	7.629321e-01	5.494915e-03	2.606768e-02	5.919218e-03
 30	6.783024e-01	1.207627e-02	1.283373e-01	1.352184e-02
 33	5.542954e-01	1.509770e-02	2.765000e-01	1.751048e-02
 36	4.572503e-01	1.593659e-02	3.986660e-01	1.804238e-02
 39	3.895110e-01	1.985969e-02	4.832544e-01	2.100727e-02
 42	3.002284e-01	1.926740e-02	5.810583e-01	1.956053e-02
 45	2.027998e-01	1.458555e-02	6.788529e-01	1.553342e-02
 48	1.211315e-01	9.891838e-03	7.542507e-01	1.012682e-02
 51	6.879898e-02	1.057232e-02	7.955711e-01	1.054566e-02
 54	4.090439e-02	8.380310e-03	8.124259e-01	8.981266e-03
 57	2.399758e-02	6.142472e-03	8.186001e-01	7.017225e-03
 60	1.499534e-02	4.912105e-03	8.182322e-01	6.460397e-03
 63	9.831560e-03	3.416486e-03	8.157857e-01	5.546546e-03
 66	6.796105e-03	2.920873e-03	8.124463e-01	5.637770e-03
 69	5.058642e-03	2.629975e-03	8.088311e-01	5.230982e-03
 72	3.897351e-03	2.909285e-03	8.053221e-01	5.014485e-03
 75	3.289957e-03	2.916451e-03	8.016508e-01	4.774138e-03
 78	2.632944e-03	2.456492e-03	7.987785e-01	4.759309e-03
 81	2.344183e-03	2.391085e-03	7.958588e-01	5.017843e-03
 84	2.082930e-03	2.167073e-03	7.935708e-01	4.926151e-03
 87	1.746070e-03	2.167503e-03	7.911541e-01	4.961927e-03
 90	1.451739e-03	1.943096e-03	7.891137e-01	4.655587e-03
 93	1.254787e-03	1.724617e-03	7.876915e-01	4.758161e-03
 96	1.041803e-03	1.609680e-03	7.864222e-01	4.859687e-03
